VALUE,EVT_NAME,EVT_LF,EVT_PHYS,R,G,B,RED,GREEN,BLUE
7135,Inter-Mountain Basins Semi-Desert Grassland,Herb,Grassland,255,200,125,1,0.784314,0.490196
7136,Mediterranean California Alpine Dry Tundra,Herb,Grassland,255,211,119,1,0.827451,0.466667
7137,Mediterranean California Subalpine Meadow,Herb,Grassland,255,205,112,1,0.803922,0.439216
7138,North Pacific Montane Grassland,Herb,Grassland,255,198,107,1,0.776471,0.419608
7139,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Herb,Grassland,255,191,102,1,0.74902,0.4
7140,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Herb,Grassland,255,184,97,1,0.721569,0.380392
7141,Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,255,176,92,1,0.690196,0.360784
7142,Columbia Basin Palouse Prairie,Herb,Grassland,255,198,107,1,0.776471,0.419608
7143,Rocky Mountain Alpine Fell-Field,Herb,Grassland,171,145,106,0.670588,0.568627,0.415686
7144,Rocky Mountain Alpine Turf,Herb,Grassland,171,145,106,0.670588,0.568627,0.415686
7145,Rocky Mountain Subalpine-Montane Mesic Meadow,Herb,Grassland,255,163,82,1,0.639216,0.321569
7146,Southern Rocky Mountain Montane-Subalpine Grassland,Herb,Grassland,171,145,106,0.670588,0.568627,0.415686
7147,Western Great Plains Foothill and Piedmont Grassland,Herb,Grassland,255,157,77,1,0.615686,0.301961
7148,Western Great Plains Sand Prairie,Herb,Grassland,255,148,71,1,0.580392,0.278431
7149,Western Great Plains Shortgrass Prairie,Herb,Grassland,255,142,66,1,0.556863,0.258824
7150,Western Great Plains Tallgrass Prairie,Herb,Grassland,255,137,64,1,0.537255,0.25098
7151,California Central Valley Riparian Woodland,Tree,Riparian,81,180,141,0.317647,0.705882,0.552941
7152,California Central Valley Riparian Shrubland,Shrub,Riparian,81,180,141,0.317647,0.705882,0.552941
7153,Inter-Mountain Basins Greasewood Flat,Shrub,Shrubland,194,170,126,0.760784,0.666667,0.494118
7156,North Pacific Lowland Riparian Forest,Tree,Riparian,67,162,181,0.262745,0.635294,0.709804
7157,North Pacific Lowland Riparian Shrubland,Shrub,Riparian,67,162,181,0.262745,0.635294,0.709804
7158,North Pacific Montane Riparian Woodland,Tree,Riparian,67,162,181,0.262745,0.635294,0.709804
7159,North Pacific Montane Riparian Shrubland,Shrub,Riparian,67,162,181,0.262745,0.635294,0.709804
